user_id,item_id,rating
21,4,4
21,0,4
21,14,1
21,16,2
21,11,2
21,5,3
21,6,4
21,8,2
22,14,4
22,12,3
22,18,5
22,2,3
22,3,3
22,9,2
22,7,3
22,17,1
22,10,4
22,13,2
22,1,3
22,16,3
22,19,4
22,6,1
22,5,5
22,4,3
22,11,2
22,0,3
23,4,4
23,0,1
23,8,3
23,9,3
23,5,2
23,3,4
23,18,2
23,12,3
23,16,5
23,11,2
23,15,1
23,17,1
23,7,1
24,18,3
24,15,3
24,19,2
24,16,4
24,5,4
24,4,3
24,14,2
24,11,2
24,1,1
24,17,1
24,6,3
24,10,4
24,3,5
24,9,4
24,7,5
25,8,4
25,12,4
25,5,2
25,13,4
25,11,4
25,6,3
25,1,5
25,2,2
25,3,2
26,5,3
26,9,5
26,14,2
26,13,5
26,8,3
26,3,4
26,4,3
26,18,4
26,0,5
26,16,3
26,1,1
26,17,1
26,6,3
26,10,2
27,7,1
27,0,3
27,14,3
27,4,4
27,8,3
27,18,1
27,19,5
27,17,2
27,13,3
27,12,3
28,14,5
28,5,3
28,13,2
28,17,2
28,12,4
28,18,3
28,4,3
28,10,5
29,5,2
29,1,4
29,16,3
29,17,2
29,4,3
29,3,3
29,12,2
29,0,4
29,8,2
29,7,2
29,13,3
29,18,5
29,2,4
29,15,2
29,9,3
29,19,3
29,14,5
30,6,3
30,0,4
30,13,4
30,19,2
30,8,2
30,7,4
30,1,3
30,4,3
30,5,5
30,18,4
30,9,1
30,16,2
31,16,3
31,14,3
31,8,3
31,13,3
31,12,4
31,15,3
31,5,4
31,9,5
31,10,1
31,18,3
31,3,4
31,0,2
32,14,3
32,11,2
32,5,1
32,8,2
32,12,1
32,17,3
32,9,2
33,12,4
33,6,2
33,4,3
33,8,5
33,15,4
33,2,5
33,9,3
33,16,4
34,8,1
34,5,1
34,12,3
34,19,3
34,16,1
34,10,3
34,13,3
34,6,5
34,18,2
34,14,4
34,3,4
34,1,3
35,12,3
35,5,1
35,2,2
35,13,5
35,6,2
35,0,2
35,17,4
35,9,4
35,3,1
35,1,2
36,11,3
36,1,3
36,13,1
36,12,4
36,7,3
36,3,4
36,14,5
36,19,3
36,9,1
36,6,4
36,17,3
36,8,4
36,2,2
36,0,2
36,4,5
36,18,1
36,10,4
36,5,1
36,15,3
37,13,4
37,4,2
37,11,5
37,12,5
37,8,4
37,17,3
37,1,2
37,19,4
37,2,1
37,0,3
37,10,5
37,15,2
37,3,2
37,14,5
37,6,3
37,5,2
37,16,4
37,9,5
37,18,4
38,17,2
38,6,1
38,8,3
38,4,2
38,2,3
38,15,1
38,13,2
38,5,2
39,16,3
39,1,4
39,0,3
39,10,3
39,2,3
39,12,4
39,4,3
39,11,3
39,14,4
40,16,3
40,10,3
40,1,4
40,3,4
40,17,1
40,14,4
40,12,2
40,8,4
40,19,2
40,11,4
40,13,3
40,9,2
40,4,5
40,0,2
40,15,5
40,2,5
40,5,4
40,18,1
40,6,2
41,19,3
41,9,3
41,18,5
41,8,5
41,6,3
41,0,2
41,12,3
41,10,2
41,2,5
41,15,1
41,13,3
41,4,5
41,7,3
41,11,1
42,12,2
42,1,3
42,2,2
42,7,4
42,4,2
42,5,3
43,7,3
43,1,3
43,11,3
43,5,2
43,2,2
43,17,4
43,10,5
43,18,4
43,12,3
43,13,3
44,5,1
44,14,4
44,2,3
44,15,3
44,3,2
45,1,3
45,4,1
45,8,3
45,0,1
45,16,3
46,6,1
46,15,2
46,18,3
46,16,3
46,4,3
46,17,3
46,10,2
46,2,2
46,5,3
46,9,4
46,7,2
47,6,3
47,10,4
47,7,2
47,3,3
47,12,3
47,2,4
47,15,3
47,18,3
47,16,3
47,19,1
47,1,2
47,9,2
47,4,3
47,14,5
47,8,4
47,11,3
48,17,3
48,8,2
48,3,2
48,10,2
48,2,2
48,11,3
48,0,3
48,4,1
48,7,2
49,1,3
49,6,1
49,10,3
49,9,5
49,4,5
49,0,4
49,18,4
49,17,5
49,5,3
