date,value
2024-05-30,60.58
2024-05-31,60.36
2024-06-01,58.24
2024-06-02,55.88
2024-06-03,60.41
2024-06-04,58.62
2024-06-05,55.75
2024-06-06,57.05
2024-06-07,61.33
2024-06-08,56.94
2024-06-09,58.6
2024-06-10,59.06
2024-06-11,56.2
2024-06-12,59.62
2024-06-13,57.79
2024-06-14,59.55
2024-06-15,61.72
2024-06-16,61.21
2024-06-17,58.41
2024-06-18,59.49
2024-06-19,57.38
2024-06-20,54.98
2024-06-21,56.25
2024-06-22,57.54
2024-06-23,61.73
2024-06-24,60.71
2024-06-25,52.84
2024-06-26,57.12
2024-06-27,55.31
2024-06-28,57.55
2024-06-29,53.47
2024-06-30,57.15
2024-07-01,55.43
2024-07-02,54.18
2024-07-03,54.18
2024-07-04,54.91
2024-07-05,52.29
2024-07-06,56.38
2024-07-07,55.03
2024-07-08,55.06
2024-07-09,55.2
2024-07-10,52.79
2024-07-11,53.02
2024-07-12,56.34
2024-07-13,49.11
2024-07-14,51.47
2024-07-15,56.82
2024-07-16,52.41
2024-07-17,52.48
2024-07-18,48.66
2024-07-19,51.98
2024-07-20,50.18
2024-07-21,49.25
2024-07-22,47.85
2024-07-23,48.1
2024-07-24,54.02
2024-07-25,53.37
2024-07-26,53.37
2024-07-27,49.55
2024-07-28,49.98
2024-07-29,50.82
2024-07-30,52.78
2024-07-31,49.88
2024-08-01,53.6
2024-08-02,52.18
2024-08-03,52.92
2024-08-04,52.45
2024-08-05,52.72
2024-08-06,50.56
2024-08-07,51.84
2024-08-08,49.45
2024-08-09,52.22
2024-08-10,52.38
2024-08-11,53.86
2024-08-12,51.86
2024-08-13,54.88
2024-08-14,52.64
2024-08-15,51.41
2024-08-16,55.24
2024-08-17,54.77
2024-08-18,49.61
2024-08-19,52.54
2024-08-20,53.91
2024-08-21,52.91
2024-08-22,51.5
2024-08-23,54.39
2024-08-24,56.86
2024-08-25,56.64
2024-08-26,51.89
2024-08-27,57.91
2024-08-28,57.1
2024-08-29,54.65
2024-08-30,57.43
2024-08-31,55.67
2024-09-01,56.9
2024-09-02,58.36
2024-09-03,59.63
2024-09-04,57.41
2024-09-05,57.42
2024-09-06,58.07
2024-09-07,59.08
2024-09-08,61.12
2024-09-09,58.33
2024-09-10,59.05
2024-09-11,61.34
2024-09-12,59.14
2024-09-13,58.91
2024-09-14,62.57
2024-09-15,59.99
2024-09-16,62.15
2024-09-17,58.98
2024-09-18,64.31
2024-09-19,63.02
2024-09-20,61.38
2024-09-21,60.21
2024-09-22,63.67
2024-09-23,61.33
2024-09-24,62.83
2024-09-25,62.19
2024-09-26,61.62
2024-09-27,63.62
2024-09-28,61.08
2024-09-29,63.5
2024-09-30,66.24
2024-10-01,57.87
2024-10-02,60.73
2024-10-03,60.62
2024-10-04,62.23
2024-10-05,62.78
2024-10-06,62.12
2024-10-07,61.12
2024-10-08,62.94
2024-10-09,63.1
2024-10-10,57.78
2024-10-11,63.07
2024-10-12,64.6
2024-10-13,60.74
2024-10-14,63.18
2024-10-15,62.48
2024-10-16,61.24
2024-10-17,58.9
2024-10-18,59.45
2024-10-19,57.86
2024-10-20,60.35
2024-10-21,62.97
2024-10-22,62.4
2024-10-23,59.84
2024-10-24,59.77
2024-10-25,58.36
2024-10-26,58.41
2024-10-27,62.05
2024-10-28,57.72
2024-10-29,57.82
2024-10-30,60.49
2024-10-31,58.08
2024-11-01,57.12
2024-11-02,59.97
2024-11-03,56.24
2024-11-04,55.8
2024-11-05,56.42
2024-11-06,55.35
2024-11-07,57.55
2024-11-08,58.35
2024-11-09,55.21
2024-11-10,57.55
2024-11-11,59.67
2024-11-12,56.16
2024-11-13,61.94
2024-11-14,51.52
2024-11-15,52.76
2024-11-16,54.08
2024-11-17,55.23
2024-11-18,53.58
2024-11-19,55.21
2024-11-20,51.11
2024-11-21,55.92
2024-11-22,55.26
2024-11-23,56.13
2024-11-24,53.12
2024-11-25,54.1
2024-11-26,55.13
2024-11-27,53.73
2024-11-28,51.81
2024-11-29,54.16
2024-11-30,53.67
2024-12-01,54.04
2024-12-02,54.21
2024-12-03,51.06
2024-12-04,53.55
2024-12-05,52.94
2024-12-06,53.12
2024-12-07,57.15
2024-12-08,56.52
2024-12-09,56.71
2024-12-10,55.05
2024-12-11,56.46
2024-12-12,53.07
2024-12-13,58.5
2024-12-14,53.38
2024-12-15,54.9
2024-12-16,58.0
2024-12-17,59.46
2024-12-18,57.37
2024-12-19,59.34
2024-12-20,57.6
2024-12-21,56.57
2024-12-22,56.84
2024-12-23,60.65
2024-12-24,59.21
2024-12-25,59.39
2024-12-26,58.07
2024-12-27,57.59
2024-12-28,57.25
2024-12-29,60.15
2024-12-30,58.36
